run_id,model_source,model_deployment,model_name,model_label,case_id,cnc_mcp_tool_name,cnc_tool_layer,session_id,status,functional_success,expected_tool_called,tool_output_status_ok,tool_output_error_detected,tool_input_events,tool_output_events,event_count,duration_ms_client,answer_chars,tool_output_chars,estimated_answer_tokens,estimated_tool_output_tokens,error,answer_preview,tool_input_preview,tool_output_preview,source_dataset,validation_origin,manual_judgement_note,loop_count,first_response_ms,thinking_event_count,thinking_char_count,thinking_duration_ms,answer_char_count,tool_duration_ms_total,tool_duration_ms_avg
20260525_165836,A,Cloud,glm-5.1,glm-5.1 (Cloud),tool_data_status,tool_data_status,data,28c69aef-a907-480c-854d-877bd4a7e9a1,success,True,True,True,False,1,1,66,10874,201,2632,51,658,,,"Tool: tool_data_status
Input: {}","[{'type': 'input_text', 'text': '{\n  ""status"": ""ok"",\n  ""summary"": ""data status loaded"",\n  ""output_folder"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/data/raw"",\n  ""key_files"": {},\n  ""metrics"": {\n    ""sensors"": [\n      {\n        ""sensor"": ""Current_A"",\n        ""exists"": true,\n        ""rows"": 59668,\n        ""start"": ""2025-09-15 15:21:00"",\n        ""end"": ""2026-05-25 16:27:29""\n      },\n      {\n        ""sensor"": ""Current_B"",\n        ""exists"": true,\n        ""rows"": 59259,\n        ""start"": ""2025-09-15 15:21:00"",\n        ""end"": ""2026-05-24 06:23:27""\n      },\n      {\n        ""sensor"": ""Current_C"",\n        ""exists"": true,\n        ""rows"": 59260,\n        ",ago/CNC_MCP單工具驗證/all_models_20260525,automated_prior_run_reused,,2,8671,7,106,87,201,1192,1192
20260525_165836,A,Cloud,glm-5.1,glm-5.1 (Cloud),tool_update_data,tool_update_data,data,7c3ec043-ae76-41e8-8807-52c8421382ea,success,True,True,True,False,1,1,34,7296,91,342,23,86,,,"Tool: tool_update_data
Input: {""sensors"":""Current_A""}","[{'type': 'input_text', 'text': '{\n  ""status"": ""ok"",\n  ""summary"": ""data update finished"",\n  ""output_folder"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/data/raw"",\n  ""key_files"": {},\n  ""metrics"": {\n    ""Current_A"": {\n      ""added"": 6,\n      ""latest"": ""2026-05-25 16:58:28""\n    }\n  },\n  ""artifacts"": []\n}'}]",ago/CNC_MCP單工具驗證/all_models_20260525,automated_prior_run_reused,,2,6225,11,113,191,91,1571,1571
20260525_165836,A,Cloud,glm-5.1,glm-5.1 (Cloud),tool_run_state_analysis,tool_run_state_analysis,state,08bb10ec-0239-41db-bbf5-87d24db7dec6,success,True,True,True,False,1,1,153,41212,674,17952,169,4488,,,"Tool: tool_run_state_analysis
Input: {""start"":""2026-05-01 00:00:00"",""end"":""2026-05-02 00:00:00""}","[{'type': 'input_text', 'text': '{\n  ""status"": ""ok"",\n  ""summary"": ""GMM state analysis finished"",\n  ""output_folder"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/state"",\n  ""key_files"": {\n    ""state_labeled_csv"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/state/state_labeled.csv"",\n    ""processed_state_labeled_csv"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/data/processed/state_labeled.csv"",\n    ""state_report"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/state/state_report.txt"",\n    ""state_timeline"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis",ago/CNC_MCP單工具驗證/all_models_20260525,automated_prior_run_reused,,2,28631,8,117,299,674,3938,3938
20260525_165836,A,Cloud,glm-5.1,glm-5.1 (Cloud),tool_train_forecast,tool_train_forecast,training,82129dd2-c371-4431-a95d-b59a70e61976,success,True,True,True,False,1,1,75,11334,422,3360,106,840,,,"Tool: tool_train_forecast
Input: {""target"":""dy"",""models"":""BaselineLastWeek"",""months_back"":1}","[{'type': 'input_text', 'text': '{\n  ""status"": ""ok"",\n  ""summary"": ""forecast training finished"",\n  ""output_folder"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/forecast"",\n  ""key_files"": {\n    ""metrics"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/forecast/training/dy/forecast_metrics.json"",\n    ""training_data_profile"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/forecast/training/dy/training_data_profile.json"",\n    ""training_input_y"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/forecast/training/dy/training_input_y.png"",\n    ""training_input_dy"": ""/Users/cody2",ago/CNC_MCP單工具驗證/all_models_20260525,automated_prior_run_reused,,2,7621,9,126,298,422,1257,1257
20260525_165836,A,Cloud,glm-5.1,glm-5.1 (Cloud),tool_forecast_future,tool_forecast_future,forecast,628eafdb-a651-4dba-8495-4aa869dca197,success,True,True,True,False,1,1,77,57618,389,1170,98,292,,,"Tool: tool_forecast_future
Input: {""days"":""7"",""model_names"":""Prophet""}","[{'type': 'input_text', 'text': '{\n  ""status"": ""ok"",\n  ""summary"": ""future forecast finished"",\n  ""output_folder"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/forecast"",\n  ""key_files"": {\n    ""report"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/forecast/application/dy/future_forecast_report.json"",\n    ""future_forecast"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/forecast/application/dy/future_forecast.png"",\n    ""run_summary"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/forecast/forecast_future_dy_run_summary.json"",\n    ""application_dir"": ""/Users/cody20179/Des",ago/CNC_MCP單工具驗證/all_models_20260525,automated_prior_run_reused,,2,37470,15,160,24842,389,2044,2044
20260525_165836,A,Cloud,glm-5.1,glm-5.1 (Cloud),tool_train_anomaly_detection,tool_train_anomaly_detection,training,55391953-cf04-48bd-a289-91abf3535524,success,True,True,True,False,1,1,120,19430,570,7874,143,1968,,,"Tool: tool_train_anomaly_detection
Input: {}","[{'type': 'input_text', 'text': '{\n  ""status"": ""ok"",\n  ""summary"": ""anomaly detection training finished"",\n  ""output_folder"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/anomaly"",\n  ""key_files"": {\n    ""features"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/data/processed/detection_features.csv"",\n    ""metrics"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/anomaly/anomaly_metrics.json"",\n    ""metrics_table"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/anomaly/tables/model_metrics.csv"",\n    ""synthetic_validation_predictions"": ""/Users/cody20179/Desktop/Code/Git_My_Project/C",ago/CNC_MCP單工具驗證/all_models_20260525,automated_prior_run_reused,,2,12818,16,201,9610,570,7014,7014
20260525_165836,A,Cloud,glm-5.1,glm-5.1 (Cloud),tool_check_anomaly,tool_check_anomaly,anomaly,47e754c9-b81f-4039-9080-d31af4cacb38,success,True,True,True,False,1,1,91,14188,506,2219,127,555,,,"Tool: tool_check_anomaly
Input: {""start"":""2026-05-01 00:00:00"",""end"":""2026-05-02 00:00:00"",""min_models"":2}","[{'type': 'input_text', 'text': '{\n  ""status"": ""ok"",\n  ""summary"": ""anomaly check finished"",\n  ""output_folder"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/anomaly"",\n  ""key_files"": {\n    ""detail_csv"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/anomaly/last_anomaly_check.csv"",\n    ""timeline_plot"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/anomaly/plots/last_anomaly_check_timeline.png"",\n    ""score_plot"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/anomaly/plots/last_anomaly_check_scores.png"",\n    ""vote_plot"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cod",ago/CNC_MCP單工具驗證/all_models_20260525,automated_prior_run_reused,,2,8893,8,111,521,506,911,911
20260525_165836,A,Cloud,kimi-k2.6,kimi-k2.6 (Cloud),tool_data_status,tool_data_status,data,b8b25a3a-e50d-43a3-88d8-c2ab1c3eb9ac,success,True,True,True,False,1,1,210,22028,283,2632,71,658,,,"Tool: tool_data_status
Input: {}","[{'type': 'input_text', 'text': '{\n  ""status"": ""ok"",\n  ""summary"": ""data status loaded"",\n  ""output_folder"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/data/raw"",\n  ""key_files"": {},\n  ""metrics"": {\n    ""sensors"": [\n      {\n        ""sensor"": ""Current_A"",\n        ""exists"": true,\n        ""rows"": 59674,\n        ""start"": ""2025-09-15 15:21:00"",\n        ""end"": ""2026-05-25 16:58:28""\n      },\n      {\n        ""sensor"": ""Current_B"",\n        ""exists"": true,\n        ""rows"": 59259,\n        ""start"": ""2025-09-15 15:21:00"",\n        ""end"": ""2026-05-24 06:23:27""\n      },\n      {\n        ""sensor"": ""Current_C"",\n        ""exists"": true,\n        ""rows"": 59260,\n        ",ago/CNC_MCP單工具驗證/all_models_20260525,automated_prior_run_reused,,2,18744,134,448,16510,283,1083,1083
20260525_165836,A,Cloud,kimi-k2.6,kimi-k2.6 (Cloud),tool_update_data,tool_update_data,data,d692eb38-d0aa-4d4a-8469-fcd9465e296f,success,True,True,True,False,1,1,120,10850,147,342,37,86,,,"Tool: tool_update_data
Input: {""sensors"":""Current_A""}","[{'type': 'input_text', 'text': '{\n  ""status"": ""ok"",\n  ""summary"": ""data update finished"",\n  ""output_folder"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/data/raw"",\n  ""key_files"": {},\n  ""metrics"": {\n    ""Current_A"": {\n      ""added"": 1,\n      ""latest"": ""2026-05-25 17:03:28""\n    }\n  },\n  ""artifacts"": []\n}'}]",ago/CNC_MCP單工具驗證/all_models_20260525,automated_prior_run_reused,,2,9897,89,522,7614,147,1479,1479
20260525_165836,A,Cloud,kimi-k2.6,kimi-k2.6 (Cloud),tool_run_state_analysis,tool_run_state_analysis,state,5ade1ccc-e15f-42c8-a070-fd0c84452ed9,success,True,True,True,False,1,1,251,20255,343,17952,86,4488,,,"Tool: tool_run_state_analysis
Input: {""start"":""2026-05-01 00:00:00"",""end"":""2026-05-02 00:00:00""}","[{'type': 'input_text', 'text': '{\n  ""status"": ""ok"",\n  ""summary"": ""GMM state analysis finished"",\n  ""output_folder"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/state"",\n  ""key_files"": {\n    ""state_labeled_csv"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/state/state_labeled.csv"",\n    ""processed_state_labeled_csv"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/data/processed/state_labeled.csv"",\n    ""state_report"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/state/state_report.txt"",\n    ""state_timeline"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis",ago/CNC_MCP單工具驗證/all_models_20260525,automated_prior_run_reused,,2,13769,146,677,10256,343,4043,4043
