judge_run_id,scenario_run_id,judge_model,agent_model,scenario_id,category,repeat_index,session_id,question,answer_source,answer_chars,total_score,called_functions,missing_expectations,correctness,completeness,readability,practicality,hallucination_risk,overall,judge_reason,judge_duration_ms,estimated_judge_prompt_tokens,estimated_judge_completion_tokens,actual_judge_tokens,token_data_quality,judge_error
20260524_013522_e136e97d,20260523_233125_77a5e057,glm-5.1,glm-5.1,S01_data_coverage,data_query,1,32936b5c-22b4-4b76-9a03-342937152a16,目前 CNC 有哪些感測器資料？資料時間範圍到哪？,system_api,1411,100.0,data_status,,5.0,5.0,5.0,5.0,0.0,5.0,系統回答完整列出13項感測器名稱、資料筆數與精確的時間範圍，所有關鍵數值均與標準答案一致。表格呈現清楚易讀，並具體指出Current_A更新至5/23而其餘多數僅至5/22的差異，提供執行update_data的實用建議，無幻覺風險。,15749,1443,133,,estimated_from_text_length; direct provider usage not normalized by this script,
20260524_013522_e136e97d,20260523_233125_77a5e057,glm-5.1,glm-5.1,S01_data_coverage,data_query,2,2fcf37ae-59b9-4339-9768-b78d0b4ae87c,目前 CNC 有哪些感測器資料？資料時間範圍到哪？,system_api,1410,100.0,data_status,,5.0,5.0,5.0,5.0,0.0,5.0,系統回答完整且正確地列出13個感測器的名稱、資料筆數與時間範圍，與標準答案一致；表格與條列整理清楚，易於閱讀；並提供資料更新建議，具實用性；無幻覺風險。,19329,1452,111,,estimated_from_text_length; direct provider usage not normalized by this script,
20260524_013522_e136e97d,20260523_233125_77a5e057,glm-5.1,glm-5.1,S01_data_coverage,data_query,3,04a55458-ec65-4fbe-aecc-52ef352e4fcd,目前 CNC 有哪些感測器資料？資料時間範圍到哪？,system_api,1553,100.0,data_status,,5.0,5.0,5.0,5.0,0.0,5.0,系統回答完整呈現13個感測器的名稱、資料筆數與時間範圍，所有數值與標準答案完全一致。表格清楚加上中文說明便於工廠使用者理解，並指出Current_A更新至最新而其餘感測器資料停滯的差異，給出update_data同步建議，具實用性。無編造資訊，幻覺風險低。,6499,1465,152,,estimated_from_text_length; direct provider usage not normalized by this script,
20260524_013522_e136e97d,20260523_233125_77a5e057,glm-5.1,glm-5.1,S02_period_state_distribution,state_query,1,0c7c0d18-0023-4432-bd7c-2afe180b875a,幫我查 2026-05-01 的機台狀態分布。,system_api,736,100.0,apply_state_model,,5.0,5.0,5.0,5.0,2.0,5.0,核心數值與狀態分布皆正確，表格與結論清楚易讀，並提供實用的判讀。但系統回答自行編造了「GMM 最佳群數 K：4」與「低信心列數僅 4 筆」等標準答案未提供的資訊，故幻覺風險扣分。,9530,920,117,,estimated_from_text_length; direct provider usage not normalized by this script,
20260524_013522_e136e97d,20260523_233125_77a5e057,glm-5.1,glm-5.1,S02_period_state_distribution,state_query,2,b45ba987-9a8b-40e1-85bc-5f814ac00f6f,幫我查 2026-05-01 的機台狀態分布。,system_api,774,100.0,apply_state_model,,5.0,5.0,5.0,5.0,1.0,5.0,"系統回答準確呈現了標準答案中的各項數值（含合理的四捨五入），狀態分布（Off, Running_High, Running_Low）與無Idle的結論均正確無誤。表格與條列格式清晰易讀，並提供實用的判讀（機台無空轉）。僅有部分未在ground truth中明確出現的細節（如GMM K值、低信心筆數），但風險極低且不影響核心數值的正確性。",15899,937,167,,estimated_from_text_length; direct provider usage not normalized by this script,
20260524_013522_e136e97d,20260523_233125_77a5e057,glm-5.1,glm-5.1,S02_period_state_distribution,state_query,3,af8d8aa8-3a37-48a7-8cd7-edb0933a7306,幫我查 2026-05-01 的機台狀態分布。,system_api,725,100.0,apply_state_model,,4.0,4.0,5.0,5.0,2.0,4.0,系統回答涵蓋了大部分關鍵數值與狀態分布，並清楚指出無Idle狀態。但未列出標準答案中的kVAh_rate_avg數值，且部分數值如電流、功率與信心度有輕微四捨五入（如11.088變11.09），另外GMM最佳K與信心小於0.8的筆數為未在標準答案中支持的推測資訊，故正確性與完整性各扣1分，幻覺風險給予2分。整體易讀且具實用性。,12649,917,178,,estimated_from_text_length; direct provider usage not normalized by this script,
20260524_013522_e136e97d,20260523_233125_77a5e057,glm-5.1,glm-5.1,S03_period_utilization,state_query,1,b4111b94-29bc-4da3-bf6e-be01c47307de,幫我看 2026-05-01 的機台稼動率。,system_api,667,90.0,apply_state_model,total_hours,5.0,5.0,5.0,5.0,0.0,5.0,系統回答準確提供稼動率64.92%與運轉時數15.58小時，包含必要關鍵字「稼動」與「Running」。表格與條列格式清楚易讀，並提供排程調整的實用建議，數值計算無誤且無幻覺風險。,16343,804,111,,estimated_from_text_length; direct provider usage not normalized by this script,
20260524_013522_e136e97d,20260523_233125_77a5e057,glm-5.1,glm-5.1,S03_period_utilization,state_query,2,e4dfc42c-aee5-442e-b110-536ae3f221d9,幫我看 2026-05-01 的機台稼動率。,system_api,738,75.0,,,2.0,4.0,5.0,4.0,3.0,2.0,系統回答結構清晰且包含必要關鍵字，但核心數值（運轉時間15.42、稼動率64.25%）與標準答案（15.58、64.92%）不符，正確性嚴重不足，幻覺風險中等。,9009,785,95,,estimated_from_text_length; direct provider usage not normalized by this script,
20260524_013522_e136e97d,20260523_233125_77a5e057,glm-5.1,glm-5.1,S03_period_utilization,state_query,3,a69d7fc3-294c-44a3-b1c2-cb29b4c86426,幫我看 2026-05-01 的機台稼動率。,system_api,674,100.0,apply_state_model,,1.0,3.0,5.0,3.0,3.0,1.0,關鍵數值錯誤，運轉時數應為15.58但回答15.42，稼動率應為64.92%但回答64.2%，嚴重影響正確性；雖有包含必要關鍵字且格式易讀，但基於錯誤數據的實用性受限。,6212,781,105,,estimated_from_text_length; direct provider usage not normalized by this script,
20260524_013522_e136e97d,20260523_233125_77a5e057,glm-5.1,glm-5.1,S04_last_week_runtime,state_query,1,ce881251-ceb7-48ca-a529-2f8379c0bd6e,幫我看上週機台運轉與停機時數。,system_api,923,100.0,apply_state_model,,4.0,5.0,5.0,4.0,1.0,4.0,系統回答涵蓋了所有必要關鍵字與主要資訊，表格與結論清晰易讀，並提供優化排程的實用建議。然而，運轉時數（73.08 vs 73.0）與停機時數（94.92 vs 94.83）及稼動率（43.5% vs 43.45%）與標準答案的精確數值有些微差異，因此正確性扣1分。,10958,921,135,,estimated_from_text_length; direct provider usage not normalized by this script,
