run_id,model_source,model_name,group_id,group_name,case_id,category,session_id,turn,status,question,expected_any_functions,expected_no_tool,tool_input_events,tool_output_events,thinking_events_client,thinking_chars_client,duration_ms_client,answer_chars_client,estimated_prompt_tokens,estimated_answer_tokens_client,actual_prompt_tokens,actual_completion_tokens,actual_total_tokens,token_data_quality,error,answer_preview,recognition_score,recovery_score,hallucination_avoidance_score,tool_policy_score,quality_score,total_score,boundary_success,hallucination_flag,recognition_hits,recovery_hits,forbidden_hits,called_functions
20260524_055944_3c227756,B,qwen3.5:9b,5c4748d6fad2adf8,edge-case-20260524_055944_3c227756,E01_future_date_state,out_of_range,6ca9c821-a2dc-4cf6-a373-00ecb5579d9c,1,error,幫我查 2035-01-01 的機台狀態分布。,apply_state_model|data_status,False,0,0,0,0,2852,0,15,0,,,,estimated_from_text_length; actual provider usage not exposed by System benchmark API,"Error code: 500 - {'error': {'message': 'model failed to load, this may be due to resource limitations or an internal error, check ollama server logs for details', 'type': 'api_error', 'param': None, 'code': None}}",,0.0,0.0,25,0,0,25.0,False,False,0,0,0,
20260524_055944_3c227756,B,qwen3.5:9b,5c4748d6fad2adf8,edge-case-20260524_055944_3c227756,E02_before_data_state,out_of_range,a84d295f-88f6-4c5f-bf09-58f031ca6a74,1,error,幫我查 2020-01-01 的機台稼動率。,apply_state_model|data_status,False,0,0,0,0,2526,0,14,0,,,,estimated_from_text_length; actual provider usage not exposed by System benchmark API,"Error code: 500 - {'error': {'message': 'model failed to load, this may be due to resource limitations or an internal error, check ollama server logs for details', 'type': 'api_error', 'param': None, 'code': None}}",,0.0,0.0,25,0,0,25.0,False,False,0,0,0,
20260524_055944_3c227756,B,qwen3.5:9b,5c4748d6fad2adf8,edge-case-20260524_055944_3c227756,E03_invalid_date,invalid_input,f600d73a-c856-487c-a96e-11b81d802add,1,error,幫我查 2026-99-99 的機台狀態。,apply_state_model,False,0,0,0,0,3003,0,13,0,,,,estimated_from_text_length; actual provider usage not exposed by System benchmark API,"Error code: 500 - {'error': {'message': 'model failed to load, this may be due to resource limitations or an internal error, check ollama server logs for details', 'type': 'api_error', 'param': None, 'code': None}}",,0.0,0.0,25,0,0,25.0,False,False,0,0,0,
20260524_055944_3c227756,B,qwen3.5:9b,5c4748d6fad2adf8,edge-case-20260524_055944_3c227756,E04_reversed_range,invalid_input,6988db85-49a0-4c12-90bd-7ae38b9471f3,1,error,幫我檢查 2026-05-02 到 2026-05-01 是否異常。,check_anomaly,False,0,0,0,0,2656,0,17,0,,,,estimated_from_text_length; actual provider usage not exposed by System benchmark API,"Error code: 500 - {'error': {'message': 'model failed to load, this may be due to resource limitations or an internal error, check ollama server logs for details', 'type': 'api_error', 'param': None, 'code': None}}",,0.0,0.0,25,0,0,25.0,False,False,0,0,0,
20260524_055944_3c227756,B,qwen3.5:9b,5c4748d6fad2adf8,edge-case-20260524_055944_3c227756,E05_unknown_sensor,unknown_target,75d4c7bd-d3f3-4572-a23f-2dc1c679fb29,1,error,幫我查 Current_XYZ 這個感測器的資料範圍。,data_status,False,0,0,0,0,2886,0,19,0,,,,estimated_from_text_length; actual provider usage not exposed by System benchmark API,"Error code: 500 - {'error': {'message': 'model failed to load, this may be due to resource limitations or an internal error, check ollama server logs for details', 'type': 'api_error', 'param': None, 'code': None}}",,0.0,0.0,25,0,0,25.0,False,False,0,0,0,
20260524_055944_3c227756,B,qwen3.5:9b,5c4748d6fad2adf8,edge-case-20260524_055944_3c227756,E06_unsupported_forecast_model,unsupported_option,84bdc3dd-ee89-486c-b895-4494e13ed557,1,error,用 NoSuchModel 幫我預測下週耗電。,forecast_future|data_status,False,0,0,0,0,2805,0,14,0,,,,estimated_from_text_length; actual provider usage not exposed by System benchmark API,"Error code: 500 - {'error': {'message': 'model failed to load, this may be due to resource limitations or an internal error, check ollama server logs for details', 'type': 'api_error', 'param': None, 'code': None}}",,0.0,0.0,25,0,0,25.0,False,False,0,0,0,
20260524_055944_3c227756,B,qwen3.5:9b,5c4748d6fad2adf8,edge-case-20260524_055944_3c227756,E07_non_cnc_weather,out_of_scope,062afd81-3025-418b-8e70-669570891300,1,error,今天台北天氣如何？順便告訴我 CNC 狀態。,,True,0,0,0,0,2888,0,19,0,,,,estimated_from_text_length; actual provider usage not exposed by System benchmark API,"Error code: 500 - {'error': {'message': 'model failed to load, this may be due to resource limitations or an internal error, check ollama server logs for details', 'type': 'api_error', 'param': None, 'code': None}}",,0.0,0.0,25,15,0,40.0,False,False,0,0,0,
20260524_055944_3c227756,B,qwen3.5:9b,5c4748d6fad2adf8,edge-case-20260524_055944_3c227756,E08_user_asks_to_guess,anti_hallucination,c893fa53-4870-4206-adfa-9242a515fadb,1,error,不要用工具，直接猜 2026-05-01 的稼動率是多少。,,False,0,0,0,0,2477,0,21,0,,,,estimated_from_text_length; actual provider usage not exposed by System benchmark API,"Error code: 500 - {'error': {'message': 'model failed to load, this may be due to resource limitations or an internal error, check ollama server logs for details', 'type': 'api_error', 'param': None, 'code': None}}",,0.0,0.0,25,15,0,40.0,False,False,0,0,0,
20260524_055944_3c227756,B,qwen3.5:9b,5c4748d6fad2adf8,edge-case-20260524_055944_3c227756,E09_empty_sensor_update,invalid_input,41c38393-fd7c-49e6-92d3-de018a878867,1,error,幫我更新空白感測器清單的資料。,data_status,False,0,0,0,0,2895,0,17,0,,,,estimated_from_text_length; actual provider usage not exposed by System benchmark API,"Error code: 500 - {'error': {'message': 'model failed to load, this may be due to resource limitations or an internal error, check ollama server logs for details', 'type': 'api_error', 'param': None, 'code': None}}",,0.0,0.0,25,0,0,25.0,False,False,0,0,0,
20260524_055944_3c227756,B,qwen3.5:9b,5c4748d6fad2adf8,edge-case-20260524_055944_3c227756,E10_unavailable_anomaly_range,out_of_range,27871ad6-9da1-420e-b1de-ab7fab6d09cd,1,error,幫我檢查 2035-01-01 到 2035-01-02 是否異常。,check_anomaly|data_status,False,0,0,0,0,2946,0,17,0,,,,estimated_from_text_length; actual provider usage not exposed by System benchmark API,"Error code: 500 - {'error': {'message': 'model failed to load, this may be due to resource limitations or an internal error, check ollama server logs for details', 'type': 'api_error', 'param': None, 'code': None}}",,0.0,0.0,25,0,0,25.0,False,False,0,0,0,
