codex_judge_run_id,codex_model,judge_item_id,agent_model,scenario_id,category,repeat_index,session_id,question,answer_source,answer_chars,agent_duration_ms,tool_input_events,rule_based_qa_score,called_functions,missing_expectations,correctness,completeness,readability,practicality,hallucination_risk,overall,codex_reason,batch_duration_ms,estimated_answer_tokens,codex_judge_error
20260526_012932_4ae1e87d,gpt-5.5,J0001,qwen3.5:9b,S01_data_coverage,data_query,1,0a6c22f6-d6f8-475d-9bf5-7f4723dd1c3f,目前 CNC 有哪些感測器資料？資料時間範圍到哪？,system_api,338,44819,3,100.0,data_status,,3.5,3.5,4.5,3.5,2.5,3.5,感測器總數與整體起訖時間大致正確，但未完整列出每個感測器、筆數與各自時間範圍；電流/電壓資料量描述混淆，且採樣間隔與後續用途屬未由標準答案支持的推論。,36653,197,
20260526_012932_4ae1e87d,gpt-5.5,J0002,qwen3.5:9b,S02_period_state_distribution,state_query,1,09031f94-0946-40ce-a376-3ca68f66a3d4,幫我查 2026-05-01 的機台狀態分布。,system_api,632,47929,2,100.0,apply_state_model|data_status,,5.0,5.0,5.0,4.5,1.0,5.0,主要狀態筆數、小時、佔比、平均電流與功率皆符合標準答案；平均置信度與最佳 K 值未在標準答案中提供，略增幻覺風險。,36653,241,
20260526_012932_4ae1e87d,gpt-5.5,J0003,qwen3.5:9b,S03_period_utilization,state_query,1,6d9522db-de65-4307-962b-3febc3cb14d2,幫我看 2026-05-01 的機台稼動率。,system_api,388,99993,7,35.0,data_status,running_hours|total_hours|utilization_percent,0.0,1.0,4.0,1.0,4.5,0.5,使用月份資料回答單日稼動率，稼動時數、總時數與稼動率皆不符合標準答案；狀態分佈也完全偏離 2026-05-01。,36653,178,
20260526_012932_4ae1e87d,gpt-5.5,J0004,qwen3.5:9b,S04_last_week_runtime,state_query,1,cd6ce02b-e0c7-4b7d-9662-f6fd084b75ce,幫我看上週機台運轉與停機時數。,csv_preview,0,300163,10,35.0,data_status|forecast_future,running_hours|off_hours|total_hours|utilization_percent,0.0,0.0,0.0,0.0,0.0,0.0,系統答案為空，未回答運轉時數、停機時數、總時數或稼動率。,36653,0,
20260526_012932_4ae1e87d,gpt-5.5,J0005,qwen3.5:9b,S05_this_week_status,state_query,1,ee0a429b-73bd-4525-98d4-b46fcf647a8f,幫我看本週機台狀態。,csv_preview,0,37206,2,35.0,,running_hours|off_hours|total_hours|utilization_percent,0.0,0.0,0.0,0.0,0.0,0.0,系統答案為空，未回答本週狀態、運轉/停機時數、總時數或稼動率。,36653,0,
20260526_012932_4ae1e87d,gpt-5.5,J0006,qwen3.5:9b,S06_next_week_power,forecast,1,cf0928a9-4242-4987-8727-f7d119c3c166,幫我預測下週耗電量。,system_api,526,50292,2,100.0,data_status|forecast_future,,2.0,2.5,4.0,2.0,4.5,2.0,答案包含標準答案中的 Prophet 預測值 8162.00 與增量 81.39，但最終結論改採未受標準答案支持且數值不符的 BaselineLastWeek 8268.80、日均 188.18，關鍵結論錯誤。,36653,203,
20260526_012932_4ae1e87d,gpt-5.5,J0007,qwen3.5:9b,S07_next_month_cost,forecast,1,c4e19f5c-8297-4777-a03b-d7653a7067ab,幫我預測下個月電費，電價用每度 4 元。,csv_preview,0,118218,3,50.0,data_status|forecast_future,forecast_30d_increment|estimated_30d_cost,0.0,0.0,0.0,0.0,0.0,0.0,系統答案為空，未回答 30 日預測增量、電價或估算電費。,36653,0,
20260526_012932_4ae1e87d,gpt-5.5,J0008,qwen3.5:9b,S08_period_anomaly,anomaly,1,20dc8ef8-0ecd-44bd-9287-afa9f0fe6328,幫我檢查 2026-05-01 到 2026-05-02 是否異常。,system_api,286,32059,2,100.0,check_anomaly,,5.0,5.0,5.0,4.5,0.5,5.0,異常判定、筆數、異常數、異常率與模型投票皆符合標準答案；圖表路徑屬標準答案未支持的小幅附加說法。,36653,133,
20260526_012932_4ae1e87d,gpt-5.5,J0009,qwen3.6:27b,S01_data_coverage,data_query,1,6f95d89f-1eb0-470c-950d-5c5dab9947c3,目前 CNC 有哪些感測器資料？資料時間範圍到哪？,system_api,899,153738,1,100.0,data_status,,4.0,4.0,4.5,4.0,2.0,4.0,感測器總數、主要類別、整體時間範圍與多數筆數量級正確，但未逐項列出每個感測器精確筆數與起始時間；工具呼叫、更新狀況良好與完整度足夠等說法未由標準答案支持。,36653,404,
20260526_012932_4ae1e87d,gpt-5.5,J0010,qwen3.6:27b,S02_period_state_distribution,state_query,1,2a5ec28d-9109-4779-88bf-9ec039ebdd1b,幫我查 2026-05-01 的機台狀態分布。,system_api,880,187715,1,69.0,,running_high_hours,0.5,2.0,4.5,2.0,5.0,1.0,資料筆數 288 正確，但四種狀態的佔比、小時數、平均電流與功率幾乎全部與標準答案不符，且加入 Silhouette、K 值、工具、圖表與生產排程判讀等大量未支持資訊。,36653,460,
